 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
   1922.2800  0.450258E-01  0.955973E+00
   1899.4860  0.432053E-01  0.957715E+00
   1899.4860  0.535604E-01  0.947849E+00
   1887.5460  0.524045E-01  0.948945E+00
   1875.6060  0.512664E-01  0.950026E+00
   1875.6060  0.600258E-01  0.941740E+00
   1868.5510  0.592482E-01  0.942473E+00
   1861.4960  0.584778E-01  0.943199E+00
   1861.4960  0.661445E-01  0.935996E+00
   1856.9740  0.655902E-01  0.936515E+00
   1852.4520  0.650393E-01  0.937031E+00
   1852.4520  0.719016E-01  0.930623E+00
   1849.3760  0.714893E-01  0.931006E+00
   1846.3000  0.710787E-01  0.931389E+00
   1846.3000  0.773127E-01  0.925600E+00
   1844.1130  0.769963E-01  0.925893E+00
   1841.9260  0.766808E-01  0.926185E+00
   1841.9260  0.824031E-01  0.920901E+00
   1840.3150  0.821540E-01  0.921130E+00
   1838.7040  0.819054E-01  0.921359E+00
   1838.7040  0.872062E-01  0.916488E+00
   1837.4810  0.870056E-01  0.916672E+00
   1836.2580  0.868054E-01  0.916855E+00
   1836.2580  0.917431E-01  0.912340E+00
   1835.3100  0.915793E-01  0.912489E+00
   1834.3620  0.914157E-01  0.912638E+00
   1834.3620  0.960376E-01  0.908430E+00
   1833.6100  0.959014E-01  0.908554E+00
   1832.8580  0.957654E-01  0.908677E+00
   1832.8580  0.100109E+00  0.904739E+00
   1832.2530  0.999945E-01  0.904842E+00
   1831.6480  0.998803E-01  0.904946E+00
   1831.6480  0.103974E+00  0.901249E+00
   1831.1530  0.103877E+00  0.901336E+00
   1830.6580  0.103780E+00  0.901424E+00
   1830.6580  0.107653E+00  0.897939E+00
   1830.2480  0.107570E+00  0.898014E+00
   1829.8380  0.107486E+00  0.898089E+00
   1829.8380  0.111155E+00  0.894800E+00
   1829.4950  0.111083E+00  0.894864E+00
   1829.1520  0.111011E+00  0.894929E+00
   1829.1520  0.114493E+00  0.891818E+00
   1826.3260  0.113882E+00  0.892363E+00
   1823.5000  0.113274E+00  0.892906E+00
   1823.5000  0.113274E+00  0.892906E+00
   1766.0500  0.216765E+00  0.805119E+00
   1708.6000  0.312586E+00  0.731553E+00
   1651.1500  0.400876E+00  0.669733E+00
   1593.7000  0.481762E+00  0.617694E+00
   1536.2500  0.555352E+00  0.573870E+00
   1478.8000  0.621738E+00  0.537011E+00
   1421.3500  0.680995E+00  0.506113E+00
   1363.9000  0.733180E+00  0.480379E+00
   1306.4500  0.778335E+00  0.459170E+00
   1249.0000  0.816482E+00  0.441984E+00
   1191.5500  0.847628E+00  0.428430E+00
   1134.1000  0.871762E+00  0.418214E+00
   1076.6500  0.888860E+00  0.411124E+00
   1019.2000  0.898880E+00  0.407025E+00
    961.7500  0.901768E+00  0.405852E+00
    904.3000  0.889875E+00  0.410707E+00
    846.8500  0.823201E+00  0.439024E+00
